;additionalInfos;authorFirstname;authorLastname;correctionsAfter1938;firstEditionPublicationPlace;firstEditionPublicationYear;firstEditionPublisher;ocrResult;pageNumberInOCRDocument;secondEditionPublicationPlace;secondEditionPublicationYear;secondEditionPublisher;ssFlag;title
70;;Otto Julius;Bierbaum;;München;1922;Georg Müller;Bierbaum, Otto Julius: Prinz Kuckuck. München: Georg Müller 1922.;11;München;1922;Georg Müller;False;Prinz Kuckuck
71;;Paul;Fischer;;Stuttgart;1922;Dietz;Fischer, Paul: Volkstümliche Einführung in das Marx-Studium. Stuttgart: Dietz 1922.;38;Stuttgart;1922;Dietz;False;Volkstümliche Einführung in das Marx-Studium
72;;Otto;Ehinger;;München;1912;Reinhardt;Ehinger, Otto: Die sozialen Ausbeutungssysteme. München: Reinhardt 1912.;29;München;1912;Reinhardt;False;Die sozialen Ausbeutungssysteme
73;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;0. N.;Nikonowa [Nikonova];;Leningrad;1940;Staatsverl. für Lehrbücher ;Nikonowa [Nikonova], 0. N.: Lehrbuch der deutschen Sprache. — Le¬ningrad: Staatsverl. für Lehrbücher 1940.;13;Leningrad;1940;Staatsverl. für Lehrbücher ;True;Lehrbuch der deutschen Sprache
74;;Paul;Kammerer;;Wien;1918;Anzengruber;Kammerer, Paul: Einzeltod — Völkertod ... Wien: Anzengruber 1918.;0;Wien;1918;Anzengruber;False;Einzeltod — Völkertod
75;;Nikolai W.;Krylenko;;Berlin;1927;Verl. f. Lit. u. Politik;Krylenko, Nikolai W.: Die Kriminalpolitik der Sowjetmacht. Berlin: Verl. f. Lit. u. Politik 1927.;78;Berlin;1927;Verl. f. Lit. u. Politik;False;Die Kriminalpolitik der Sowjetmacht
76;;Josef;Teusch;;Köln;1934;Bachem;Teusch, Josef: Wie lange noch konfessionelle Spaltung in Deutschland? Köln: Bachem 1934.;147;Köln;1934;Bachem;False;Wie lange noch konfessionelle Spaltung in Deutschland?
77;Jahresliste 1939 des schädlichen und unerwünschten Schrifttums;;Klaus, Grenadier [Pseud.] s. Kraft, Wilhelm.;;;;;Klaus, Grenadier [Pseud.] s. Kraft, Wilhelm.;8;;;;False;
78;;Richard;Lipinski;;;;;Lipinski, Richard: Sämtliche Schriften.;86;;;;False;Sämtliche Schriften
79;;Hermann;Rohleder;;Berlin;1923;Fischers mediz. Buchh.;Rohleder, Hermann: Vorlesungen über das gesamte Geschlechtsleben des Menschen. Berlin: Fischers mediz. Buchh. 1923.;121;Berlin;1923;Fischers mediz. Buchh.;False;Vorlesungen über das gesamte Geschlechtsleben des Menschen
80;;Gino Forst von;Moellwitz;;Berlin;1933;Verl. mod. Lektüre;Moellwitz, Gino Forst von: Squab. Weiberfang in der Südsee. Berlin: Verl. mod. Lektüre 1933.;97;Berlin;1933;Verl. mod. Lektüre;False;Squab. Weiberfang in der Südsee
81;;Kaete;Kongsback;;Hamburg;1928;Göpner;Kongsback, Kaete: Von Dir — und den andern mehr. Zirkus der Geschlechter. Hamburg: Göpner 1928.;75;Hamburg;1928;Göpner;False;Von Dir — und den andern mehr. Zirkus der Geschlechter
82;Jahresliste 1939 des schädlichen und unerwünschten Schrifttums;;;;Strasbourg;1937;Éditions Prométhée;"S. M. Kirow. Eine kurze Biographie. — Strasbourg: Éditions Prométhée

1937.";8;Strasbourg;1937;Éditions Prométhée;True;S. M. Kirow. Eine kurze Biographie
83;;Florentine;Gebhardt;;Berlin;1934;Neuer Berliner Buchvertrieb;Gebhardt, Florentine: Bei uns ist Erntefest. Berlin: Neuer Berliner Buchvertrieb 1934.;43;Berlin;1934;Neuer Berliner Buchvertrieb;False;Bei uns ist Erntefest
84;Jahresliste 1939 des schädlichen und unerwünschten Schrifttums;;;;Paris;1938;Éditions Prométhée;Jugend am Staatsruder. Die jungen Deputierten im Obersten Rat der UdSSR. — Paris: Éditions Prométhée (1938).;7;Paris;1938;Éditions Prométhée;True;Jugend am Staatsruder. Die jungen Deputierten im Obersten Rat der UdSSR
85;;Walter;Beamt;;Potsdam;1924;Kiepenheuer;Beamt, Walter: Das erste Weib. Potsdam: Kiepenheuer 1924.;8;Potsdam;1924;Kiepenheuer;False;Das erste Weib
86;;Martin;Maurice;;Wien;1930;Zsolnay;Maurice, Martin: Nacht und Tag. Wien: Zsolnay 1930.;93;Wien;1930;Zsolnay;False;Nacht und Tag
87;;L.;Beria;;Moskau;1936;Verlagsgen. ausländ. Arbeiter;Beria, L.: Zur Geschichte der bolschewistischen Organisationen in Transkaukasien. Moskau: Verlagsgen. ausländ. Arbeiter 1936.;10;Moskau;1936;Verlagsgen. ausländ. Arbeiter;True;Zur Geschichte der bolschewistischen Organisationen in Transkaukasien
88;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Max Moritz;Hofmann;;;;;Hofmann, Max Moritz, geb. 1. 3. 1891: sämtliche Schriften.;7;;;;True;sämtliche Schriften
89;Jahresliste 1940 des schädlichen und unerwünschten Schrifttums;;Falck, Richard, u. Olga Falck;;Warszawa;1937;Hausschwamm-Forschungen. 12 = Instytut badawczy lasów panstwowych. Rozprawy i sprawozdania. A, 36/38.;Falck, Richard, u. Olga Falck: Die Ptychogasterfäule des Coniferenholzes [u. a.]. — (Warszawa: [Księg. roln.]) 1937 = Hausschwamm-Forschungen. 12 = Instytut badawczy lasów panstwowych. Rozprawy i sprawozdania. A, 36/38.;7;Warszawa;1937;Hausschwamm-Forschungen. 12 = Instytut badawczy lasów panstwowych. Rozprawy i sprawozdania. A, 36/38.;True;Die Ptychogasterfäule des Coniferenholzes [u. a.]
90;;Rudolf;Leonhard;;Paris;1938;Ed. Prométhée;Leonhard, Rudolf: Spanische Gedichte und Tagebuchblätter. Paris: Ed. Prométhée 1938.;84;Paris;1938;Ed. Prométhée;True;Spanische Gedichte und Tagebuchblätter
91;;;;; Thür.; 1930;Die Kommenden;Nationalismus, Sozialrevolutionärer ~. Flarchheim i. Thür.: Die Kommenden 1930.;101; Thür.; 1930;Die Kommenden;False;Nationalismus, Sozialrevolutionärer ~. Flarchheim i
92;;Ernst;Basch;;Zürich;1934;Oprecht & Helbling;Basch, Ernst: Unpolitische Beobachtungen. Zürich: Oprecht & Helbling 1934.;8;Zürich;1934;Oprecht & Helbling;True;Unpolitische Beobachtungen
93;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Johannes;Reeb;;Einsiedeln, Köln;1940;Benziger;Reeb, Johannes: Christentum — Ende oder Wende? — Einsiedeln, Köln: Benziger (1940).;14;Einsiedeln, Köln;1940;Benziger;True;Christentum — Ende oder Wende?
94;;J.;Rosenberg;;Wien;1904;Wiener Volksbuchh.;Rosenberg, J.: Ricardo und Marx als Werttheoretiker. Wien: Wiener Volksbuchh. 1904.;122;Wien;1904;Wiener Volksbuchh.;False;Ricardo und Marx als Werttheoretiker
95;;Hans;Kirchsteiger;;Wien;1928;Anzengruber-Verl.;Kirchsteiger, Hans: Der morsche Beichtstuhl. Wien: Anzengruber-Verl. 1928.;72;Wien;1928;Anzengruber-Verl.;False;Der morsche Beichtstuhl
96;;;;; Glarus; 1933;Glarner Nachrichten;Protokolle der Weisen von Zion, die grösste Fälschung des Jahrhunderts. Glarus: Glarner Nachrichten 1933.;113; Glarus; 1933;Glarner Nachrichten;True;Protokolle der Weisen von Zion, die grösste Fälschung des Jahrhunderts
97;;Sophie Dorothea;Gallwitz;;Berlin;1927;Herbig;Gallwitz, Sophie Dorothea: Der neue Dichter u. die Frau. Berlin: Herbig 1927.;43;Berlin;1927;Herbig;False;Der neue Dichter u. die Frau
98;;Werner;Hauswirth;;Münsingen;1937;B. Fischer in Komm.;Hauswirth, Werner: Republik Europa. Münsingen: B. Fischer in Komm. 1937.;54;Münsingen;1937;B. Fischer in Komm.;True;Republik Europa
99;;Havelock;Ellis;;Leipzig;1924;Kabitzsch;Ellis, Havelock: Die Homosexualität. Leipzig: Kabitzsch 1924.;31;Leipzig;1924;Kabitzsch;False;Die Homosexualität
100;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Heinrich;Putzner;;;;;Putzner, Heinrich: sämtliche Schriften.;14;;;;True;sämtliche Schriften
101;;Rudolf;Oelbermann;;Plauen;1935;Wolff;Oelbermann, Rudolf: Kameraden singt! Plauen: Wolff 1935.;105;Plauen;1935;Wolff;False;Kameraden singt!
102;;;;; Paris; 1933;Ed. du Carrefour;Braunbuch über Reichstagsbrand und Hitler-Terror. Paris: Ed. du Carrefour 1933.;16; Paris; 1933;Ed. du Carrefour;True;Braunbuch über Reichstagsbrand und Hitler-Terror
103;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;;Roda-Roda, Alexander [Pseud.] s. Rosenfeld, Sandor Friedrich.;;;;;Roda-Roda, Alexander [Pseud.] s. Rosenfeld, Sandor Friedrich.;15;;;;False;
104;;Josef;Breitbach;;Stuttgart;1929;Dt. Verlagsanst.;Breitbach, Josef: Rot gegen Rot. Stuttgart: Dt. Verlagsanst. 1929.;16;Stuttgart;1929;Dt. Verlagsanst.;False;Rot gegen Rot
105;;Artur;Mahraun;;Berlin;1932;Jungdt. Verl.;Mahraun, Artur: Der grosse Plan. Berlin: Jungdt. Verl. 1932.;90;Berlin;1932;Jungdt. Verl.;False;Der grosse Plan
106;;;Michaelis, Cassie, Heinz Michaelis u. W. O. Somin;;Zürich; 1934;Europa-Verl.;Michaelis, Cassie, Heinz Michaelis u. W. O. Somin: Die braune Kultur. Zürich: Europa-Verl. 1934.;95;Zürich; 1934;Europa-Verl.;True;Die braune Kultur
107;;Ernst;Lehmann;;Berlin;1933;Bott;Lehmann, Ernst: Deutschland, wohin? Berlin: Bott 1933.;82;Berlin;1933;Bott;False;Deutschland, wohin?
108;;M.;Alberton;;Leipzig;1932;Prager;Alberton, M.: Birobidschan, die Judenrepublik. Leipzig: Prager 1932.;2;Leipzig;1932;Prager;False;Birobidschan, die Judenrepublik
109;;Ewald;Keiser;;Wien;1936;Zinnen-Verl.;Keiser, Ewald: Chr. D. Grabbes Napoleon oder die hundert Tage als Roman. Wien: Zinnen-Verl. 1936.;70;Wien;1936;Zinnen-Verl.;False;Chr. D. Grabbes Napoleon oder die hundert Tage als Roman
110;;Ödön von;Horváth;;Amsterdam;1937;A. de Lange;Horváth, Ödön von: Jugend ohne Gott. Amsterdam: A. de Lange 1937.;61;Amsterdam;1937;A. de Lange;True;Jugend ohne Gott
111;;Max;Mohr;;München;1929;Georg Müller;Mohr, Max: Die Heidin. München: Georg Müller 1929.;97;München;1929;Georg Müller;False;Die Heidin
112;;Friedrich;Mehringer;;München;1936;Höfling;Mehringer, Friedrich: Das deutsche Jahr. München: Höfling 1936.;94;München;1936;Höfling;False;Das deutsche Jahr
113;;Curt;Rombach;;Leipzig;1912;Leipziger Verl.;Rombach, Curt: Schleichwege und Annäherungsversuche sexuell Verirrter. Leipzig: Leipziger Verl. 1912.;121;Leipzig;1912;Leipziger Verl.;False;Schleichwege und Annäherungsversuche sexuell Verirrter
114;;;;; Moskau; 1933;Verlagsgen. ausländ. Arbeiter;Wir werden wohlhabend. Moskau: Verlagsgen. ausländ. Arbeiter 1933.;163; Moskau; 1933;Verlagsgen. ausländ. Arbeiter;True;Wir werden wohlhabend
115;Sämtl. Ausgaben;Georg V.;Plechanow;;;;;Plechanow, Georg V.: Die Grundprobleme des Marxismus. Sämtl. Ausgaben.;111;;;;False;Die Grundprobleme des Marxismus
